Date,Close
1/2/2014 16:00:00,27.7
1/3/2014 16:00:00,29.23
1/6/2014 16:00:00,29.29
1/7/2014 16:00:00,28.78
1/8/2014 16:00:00,29.8
1/9/2014 16:00:00,31.06
1/10/2014 16:00:00,31.47
1/13/2014 16:00:00,30.92
1/14/2014 16:00:00,32.01
1/15/2014 16:00:00,31.5
1/16/2014 16:00:00,31.58
1/17/2014 16:00:00,31.07
1/21/2014 16:00:00,32.08
1/22/2014 16:00:00,32.84
1/23/2014 16:00:00,32.5
1/24/2014 16:00:00,31.11
1/27/2014 16:00:00,30.59
1/28/2014 16:00:00,30.9
1/29/2014 16:00:00,29.92
1/30/2014 16:00:00,30.58
1/31/2014 16:00:00,30.61
2/3/2014 16:00:00,29.38
2/4/2014 16:00:00,29.94
2/5/2014 16:00:00,30.02
2/6/2014 16:00:00,30.89
2/7/2014 16:00:00,31.65
2/10/2014 16:00:00,31.21
2/11/2014 16:00:00,31.41
2/12/2014 16:00:00,31.13
2/13/2014 16:00:00,31.35
2/14/2014 16:00:00,31.34
2/18/2014 16:00:00,30.92
2/19/2014 16:00:00,30.57
2/20/2014 16:00:00,31.84
2/21/2014 16:00:00,31.76
2/24/2014 16:00:00,32.45
2/25/2014 16:00:00,33.24
2/26/2014 16:00:00,33.51
2/27/2014 16:00:00,33.32
2/28/2014 16:00:00,33.21
3/3/2014 16:00:00,32.59
3/4/2014 16:00:00,34.45
3/5/2014 16:00:00,34.72
3/6/2014 16:00:00,35.37
3/7/2014 16:00:00,35.36
3/10/2014 16:00:00,35.17
3/11/2014 16:00:00,34.92
3/12/2014 16:00:00,34.5
3/13/2014 16:00:00,33.58
3/14/2014 16:00:00,34.12
3/17/2014 16:00:00,34.2
3/18/2014 16:00:00,34.07
3/19/2014 16:00:00,33.73
3/20/2014 16:00:00,33.64
3/21/2014 16:00:00,32.73
3/24/2014 16:00:00,33.32
3/25/2014 16:00:00,34.43
3/26/2014 16:00:00,33.96
3/27/2014 16:00:00,34.13
3/28/2014 16:00:00,33.53
3/31/2014 16:00:00,34.65
4/1/2014 16:00:00,35.75
4/2/2014 16:00:00,35.7
4/3/2014 16:00:00,35.37
4/4/2014 16:00:00,34.61
4/7/2014 16:00:00,33.99
4/8/2014 16:00:00,33.51
4/9/2014 16:00:00,34.73
4/10/2014 16:00:00,33.01
4/11/2014 16:00:00,32.52
4/14/2014 16:00:00,31.73
4/15/2014 16:00:00,31.91
4/16/2014 16:00:00,33.62
4/17/2014 16:00:00,33.76
4/21/2014 16:00:00,33.94
4/22/2014 16:00:00,34.95
4/23/2014 16:00:00,37.09
4/24/2014 16:00:00,36.73
4/25/2014 16:00:00,36.07
4/28/2014 16:00:00,35.84
4/29/2014 16:00:00,36.74
4/30/2014 16:00:00,36.83
5/1/2014 16:00:00,37.12
5/2/2014 16:00:00,37.23
